mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
XmlReaderContext::1,SUCCESS,0,True,False,LOW,diffs/XmlReaderContext__1.diff,94.1,61.89,58432,False
java.util.function.Supplier<org.springframework.security.oauth2.jwt.ReactiveJwtDecoder>::1,SUCCESS,0,True,False,LOW,diffs/java.util.function.Supplier_org.springframework.security.oauth2.jwt.ReactiveJwtDecoder___1.diff,47.17,27.26,24012,False
org.springframework.security.authorization.AuthorizationManager<org.springframework.security.authorization.method.MethodInvocationResult>::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.authorization.AuthorizationManager_org.springframework.security.authori-7546b603510c.diff,42.36,8.0,16738,False
org.springframework.security.acls.model.ObjectIdentity::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.acls.model.ObjectIdentity__1.diff,32.71,7.63,9634,False
OAuth2AccessToken::1,SUCCESS,0,True,False,LOW,diffs/OAuth2AccessToken__1.diff,94.78,62.72,47452,False
OAuth2AccessToken::2,SUCCESS,0,True,False,LOW,diffs/OAuth2AccessToken__2.diff,99.59,74.04,50454,False
ApplicationEventPublisher::1,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__1.diff,41.25,9.4,20444,False
ApplicationEventPublisher::2,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__2.diff,53.03,11.78,32572,False
"Converter<List<JWK>,JWK>::1",SUCCESS,0,True,False,LOW,diffs/Converter_List_JWK__JWK___1.diff,38.65,6.99,22566,False
Converter::1,SUCCESS,0,True,False,LOW,diffs/Converter__1.diff,79.55,39.9,33119,False
"Converter<Map<String,Object>,Map<String,Object>>::1",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
"Converter<Map<String,Object>,Map<String,Object>>::2",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.springframework.security.core.userdetails.UserDetailsPasswordService::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.core.userdetails.UserDetailsPasswordService__1.diff,47.71,8.09,24025,False
org.springframework.security.core.AuthenticationException::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.security.core.AuthenticationException__1.diff,41.8,8.7,16320,False
"Converter<TokenExchangeGrantRequest,HttpHeaders>::1",SUCCESS,0,True,False,HIGH,diffs/Converter_TokenExchangeGrantRequest_HttpHeaders___1.diff,75.51,32.1,39476,False
